Urdu,RomanUrdu
ہر ایک گہر میں دیا بہی جلے اناج بہی ہو,har ek ghar men diyaa bhee jale anaaj bhee ho
اگر قبا ہو تو بند قبا کی بات کریں,agar qabaa ho to bandeqabaa kee baat karen
بات کچہ صبح کی بہی اتی ہے,baat kuchh subh kee bhee aatee hai
میرے دکہ کی دوا کرے کویی,mere dukh kee davaa kare koee
تیغ ادا نہیں ہے پابند بے نیامی,te headaa naheen hai paabandebeniyaamee
سوایے اس کے کہ اشفتہ سر ہے کیا کہیے,sivaae is ke ki aashuftasar hai kyaa kahiye
زخم نے داد نہ دی تنگی دل کی یا رب,zakhm ne daad na dee tangiedil kee yaa rab
وقت رخصت ا گیا دل پہر بہی گہبرایا نہیں,vaqterukhsat aa gayaa dil phir bhee ghabraayaa naheen
مرے جرم خانہ خراب کو ترے عفو بندہ نواز میں,mire jurmekhaanakharaab ko tire afvebandanavaaz men
اہل طرب کی محفلیں رنگ جما کے رہ گییں,ahletarab kee mahfilen rang jamaa ke rah gaiin
وہ بہی کیا دن تہے کہ دیوانہ بنے پہرتے تہے,vo bhee kyaa din the ki deevaana bane phirte the
دل تو بے چین ہے اظہار ارادت کے لیے,dil to bechain hai izhaareiraadat ke liye
کہیں زمین کہیں اسماں نہیں ملتا,kaheen zameen kaheen aasmaan naheen miltaa
غالبؔ مجہے ہے اس سے ہم اغوشی ارزو,haalib mujhe hai us se hamaa hoshee aarzoo
تمہارا چاند سا چہرہ مہ کامل سے ملتا ہے,tumhaaraa chaand saa chehra mahekaamil se miltaa hai
کس روز تہمتیں نہ تراشا کیے عدو,kis roz tohmaten na taraashaa kiye adoo
اک شیرہ خانے کی ہے دیوار میرے گہر میں,ik sheerakhaane kee hai deevaar mere ghar men
کویی بجہتی ہے یہ بہڑک میں عبث,koee bujhtee hai ye bhadak men abas
صنم کی زلفاں کو ہجر میں اب گیے ہیں مجہ نین ہیں خواب راحت,sanam kee zulfaan ko hijr men ab gae hain mujh nain hain khvaab raahat
ہر قدم دوری منزل ہے نمایاں مجہ سے,har qadam dooreeemanzil hai numaayaan mujh se
وہ بہی واحد ہے میں بہی واحد ہوں,vo bhee vaahid hai main bhee vaahid huun
کہاں ہے دوزخ و جنت کسی کو کیا معلوم,kahaan hai dozakh o jannat kisee ko kyaa maaloom
زندگی اگ بہی ہے پانی بہی,zindagee aag bhee hai paanee bhee
ہے کلاہ ناز گل بر طاق دیوار چمن,hai kulaahenaazegul bar taaqedeevaarechaman
کوشش کے باوجود یہ الزام رہ گیا,koshish ke baavajood ye ilzaam rah gayaa
زہر کا جام پلایا نہ کرو,zahr kaa jaam pilaayaa na karo
کل سیر کیا ہم نے سمندر کو بہی جا کر,kal sair kiyaa ham ne samundar ko bhee jaa kar
خیر بجہنے دو ان کو ہوا تو چلے,khair bujhne do un ko havaa to chale
کاش پوچہو کہ مدعا کیا ہے,kaash poochho ki muddaaa kyaa hai
من کی دنیا میں نہ دیکہے میں نے شیخ و برہمن,man kee duniyaa men na dekhe main ne shaikh o barhaman
بہرا ہے میے عشق سے جام دل کا,bharaa hai maieishq se jaam dil kaa
دشمن سمجہ ولے نگۂ اشنا نہ مانگ,dushman samajh vale nigaheaashnaa na maang
نہ جانے کون سا صفحہ مڑا ہوا نکلے,na jaane kaun saa safha mudaa huaa nikle
ہزار بار زمانہ ادہر سے گزرا ہے,hazaar baar zamaana idhar se guzraa hai
بحر کم ظرف ہے بسان حباب,bahr kamzarf hai basaanehabaab
کچہ عجب گردش پرکار سفر رکہتا ہوں,kuchh ajab gardisheparkaar safar rakhtaa huun
کہ تو زندہ تو ہے اب تک مگر کیوں,ki too zinda to hai ab tak magar kyuun
اج کی رات جو سو لوں تو نیا ہو جاوں,aaj kee raat jo so luun to nayaa ho jaaoon
ایک نقد دل سے یارب مول کیا کیا لیجیے,ek naqdedil se yaarab mol kyaa kyaa leejiye
اس کی خوشبو کہیں بسی ہی نہیں,us kee khushboo kaheen basee hee naheen
بہ قدر حوصلۂ عشق جلوہ ریزی ہے,baqadrehauslaeishq jalvarezee hai
اپ کے نزدیک با معنی صدا ہو یا نہ ہو,aap ke nazdeek baamaanee sadaa ho yaa na ho
پردہ شرم میں صد برق تبسم کے نثار,pardaesharm men sadbarqetabassum ke nisaar
چشم مور ایینۂ دل نگرانی مانگے,chashmemor aaeenaedil nigaraanee maange
کہاں قدر ہم جنس ہم جنس کو ہے,kahaan qadrehamjins hamjins ko hai
اگرچہ زور ہواوں نے ڈال رکہا ہے,agarche zor havaaon ne daal rakkhaa hai
یہ مری خوبی قسمت کہ وہ زنداں ہو جایے,ye miree khoobeeeqismat ki vo zindaan ho jaae
حسن بے پروا خریدار متاع جلوہ ہے,husnebeparvaa khareedaaremataaejalva hai
تماشایے دیر و حرم دیکہتے ہیں,tamaashaaedairoharam dekhte hain
چہروں کا اک ہجوم مرے اس پاس تہا,chehron kaa ik hujoom mire aaspaas thaa
سویدا تا بلب زنجیری دود سپند ایا,suvaidaa taa balab zanjeeree duud sipand aayaa
صنم تیرے نین کی ارزو میں,sanam tere nayan kee aarzoo men
اج پہر عشق دو عالم سے جدا ہوتا ہے,aaj phir ishq doaalam se judaa hotaa hai
خطا کسی کی ہو لیکن کہلی جو ان کی زباں,khataa kisee kee ho lekin khulee jo un kee zabaan
جفا کرنے والوں کو کیا ہو گیا ہے,jafaa karne vaalon ko kyaa ho gayaa hai
سمجہا ہوں دل پذیر متاع ہنر کو میں,samjhaa huun dilpazeer mataehunar ko main
اجل کا تقاضا ہوا چاہتا ہے,ajal kaa taqaazaa huaa chaahtaa hai
تمہاری انکہ مرے دل سے لے سبب بے وجہ,tumhaaree aankh mire dil se le sabab bevajh
خوش نما چیزیں ہیں بازار جہاں میں بے شمار,khushnumaa cheezen hain baazaarejahaan men beshumaar
اس بہری دنیا میں ہے تنہا کیا,is bharee duniyaa men hai tanhaa kiyaa
اللہ رے چشم یار کی معجز بیانیاں,allaahre chashmeyaar kee mojizbayaaniyaan
ایسا لگا غریبی کی ریکہا سے ہوں بلند,aisaa lagaa hareebee kee rekhaa se huun buland
صورت دود رہا سایہ گریزاں مجہ سے,sooratedood rahaa saaya gurezaan mujh se
جیون مجہ سے میں جیون سے شرماتا ہوں,jeevan mujh se main jeevan se sharmaataa huun
زنداں میں ٹکڑے ہوویں سلاسل کے چار پانچ,zindaan men tukde hoven salaasil ke chaar paanch
کشاکش ہاۓ ہستی سے کرے کیا سعی ازادی,kashaakashhaaehastee se kare kyaa saieaazaadee
دیکہ اس کی چشم شہلا کوں اگر,dekh us kee chashmeshahlaa kuun agar
انے میں اس کے لیکن کس کو خبر رہے ہے,aane men us ke lekin kis ko khabar rahe hai
ترے ماتہے پہ جب تک بل رہا ہے,tire maathe pe jab tak bal rahaa hai
رہ گیا تہا دل میں جو کچہ ذوق خواری ہایے ہایے,rah gayaa thaa dil men jo kuchh zauqekhvaaree haae haae
ہویے فدا در و دیوار پر در و دیوار,hue fidaa darodeevaar par darodeevaar
مر کے جب خاک میں ملنا ٹہہرا,mar ke jab khaak men milnaa thahraa
صاف میدان پا کے دیکہ لیا,saaf maidaan paa ke dekh liyaa
ہم کسے اپ سا حسیں کہتے,ham kise aap saa haseen kahte
زندہ ہوں مگر زیست کی لذت نہیں باقی,zinda huun magar ziist kee lazzat naheen baaqee
اپ تہے جس کے چارہ گر وہ جواں,aap the jis ke chaaragar vo javaan
جوانی کی دوشیزگی کا تبسم,javaanee kee dosheezgee kaa tabassum
خور شبنم اشنا نہ ہوا ورنہ میں اسدؔ,khur shabnamaashnaa na huaa varna main asad
سرو یا گل انکہ میں جچتے نہیں,sarv yaa gul aankh men jachte naheen
سب اپنی اپنی جگہ چارہ گر ہمارے ہویے,sab apnee apnee jagah chaaragar hamaare hue
کہے سے کچہ نہ ہوا پہر کہو تو کیونکر ہو,kahe se kuchh na huaa phir kaho to kyoonkar ho
بیداد وفا دیکہ کہ جاتی رہی اخر,bedaadevafaa dekh ki jaatee rahee aakhir
سنتے تہے وہ اییں گے سنتے تہے سحر ہوگی,sunte the vo aaenge sunte the sahar hogee
مسیح بیٹہے ہیں چہپ کے کہاں خدا جانے,maseeh baithe hain chhup ke kahaan khudaa jaane
نہ ادایے کافرانہ نہ تراش ازرانہ,na adaaekaafiraana na taraasheaazraana
مجہ سے نظریں تو ملاو کہ ہزاروں چہرے,mujh se nazren to milaao ki hazaaron chehre
میرا نہ ایک ہاتہ نہ اس کے ہزار ہاتہ,meraa na ek haath na us ke hazaar haath
اک عمر چاہییے کہ گوارا ہو نیش عشق,ik umr chaahiye ki gavaaraa ho neesheishq
مرا اور اس کا رابطہ تو ہاتہ اور دعا کا تہا,miraa aur us kaa raabta to haath aur duaa kaa thaa
خورشید ہی کی اخری منزل تو رات ہے,khursheed hee kee aakhiree manzil to raat hai
دوربیں در زدہ ہے رخنۂ دیوار ہنوز,doorbeen darzada hai rakhnaedeevaar hunooz
در رحمت اب وا ہوا چاہتا ہے,darerahmat ab vaa huaa chaahtaa hai
مثل نقش مدعایے غیر بیٹہا جایے ہے,mislenaqshemuddaaae hair baithaa jaae hai
ولیؔ کوں کہے تو اگر یک بچن,valee kuun kahe too agar yak bachan
میرے اطراف تو گرتی ہویی دیواریں ہیں,mere atraaf to girtee huee deevaaren hain
تم سے دوری، یہ مجبوری، زخم کاری، بیداری،,tum se dooree ye majbooree zakhmekaaree bedaaree
تمہارے عشق نے رسوا کیا جہاں میں ہمیں,tumhaare ishq ne rusvaa kiyaa jahaan men hamen
اج کی رات اجالے مرے ہمسایہ ہیں,aaj kee raat ujaale mire hamsaaya hain
برا ہو دل کا برے وقت ہشیار کیا,buraa ho dil kaa bure vaqt hoshyaar kiyaa
دل لے کے کہتے ہیں تری خاطر سے لے لیا,dil le ke kahte hain tiree khaatir se le liyaa
گل کے خواہاں تو نظر ایے بہت عطر فروش,gul ke khvaahaan to nazar aae bahut itrfarosh
دور بیٹہا ہوا سر محفل,duur baithaa huaa saremahfil
یہ صدی دشمن ارباب ہنر لگتی ہے,ye sadee dushmanearbaabehunar lagtee hai
کب ملیں دلبر سے دیکہا چاہیے,kab milen dilbar se dekhaa chaahiye
ہے تری بات اے نزاکت فہم,hai tiree baat ai nazaakatefahm
نہ وہ ہیں مشق ستم میں قاصر نہ خون دل کی یہاں کمی ہے,na vo hain mashqesitam men qaasir na khoonedil kee yahaan kamee hai
ارزو عشق مدعا ہے عشق,aarzoo ishq muddaaa hai ishq
اب کے مل کر دیکہیے کیا رنگ ہو,ab ke mil kar dekhiye kyaa rang ho
نامۂ شوق بہ حال دل بسمل باندہا,naamaeshauq bahaaledilebismil baandhaa
پہلے اوروں سے نا خوش تہے اب خود سے بے زاری ہے,pahle auron se naakhush the ab khud se bezaaree hai
گو نامہ بر سے خوش نہ ہوا پر ہزار شکر,go naamabar se khush na huaa par hazaar shukr
اٹہتی نہیں ہے انکہ مگر اس کے روبرو,uthtee naheen hai aankh magar us ke roobaroo
پہر خیالات نے لی انگڑایی,phir khayaalaat ne lee angdaaee
سب رقیبوں سے ہوں نا خوش پر زنان مصر سے,sab raqeebon se hon naakhush par zanaanemisr se
مجہے اتا ہے کیا کیا رشک وقت ذبح اس سے بہی,mujhe aataa hai kyaa kyaa rashk vaqtezabh us se bhee
شیخ مے خانے سے بہلا کہسکا,shaikh maikhaane se bhalaa khiskaa
یہ بہوگ بہی ایک تپسیا ہے تم تیاگ کے مارے کیا جانو,ye bhog bhee ek tapasyaa hai tum tyaag ke maare kyaa jaano
دے وہ جس قدر ذلت ہم ہنسی میں ٹالیں گے,de vo jis qadar zillat ham hansee men taalenge
سنا ہے ٹہکانے کے دن ا رہے ہیں,sunaa hai thikaane ke din aa rahe hain
ورنہ ہے مال فقری سلطنت روم و شام,varna hai maalefaqeer saltanateroomoshaam
تہے شب ہجر کام اور بہت,the shabehijr kaam aur bahut
بے نیازانہ تعلق ہی چہٹا اچہا ہے,beniyaazaana taalluq hee chhutaa achchhaa hai
مسکرا کر مجہ سے پوچہا تم کو کس سے پیار تہا,muskuraa kar mujh se poochhaa tum ko kis se pyaar thaa
اگرچہ سینے میں سانس بہی ہے نہیں طبیعت میں جان باقی,agarche siine men saans bhee hai naheen tabeeat men jaan baaqee
پہر کس کی یاد ایی تہی مجہ کو پکارنے,phir kis kee yaad aaee thee mujh ko pukaarne
جب یہ کرتے ہیں پیار کی باتیں,jab ye karte hain pyaar kee baaten
کیا رہوں غربت میں خوش جب ہو حوادث کا یہ حال,kyaa rahoon hurbat men khush jab ho havaadis kaa ye haal
کس انچ سے یوں پگہل رہی ہوں,kisee aanch se yuun pighal rahee huun
تاب ایینہ صفات گیی,taabeaaeenaesifaat gaee
رخنوں سے دیوار چمن کے منہ کو لے ہے چہپا یعنی,rakhnon se deevaarechaman ke munh ko le hai chhupaa yaanee
اسدؔ بسمل ہے کس انداز کا قاتل سے کہتا ہے,asad bismil hai kis andaaz kaa qaatil se kahtaa hai
کہ رہے ادمی مدام خراب,ki rahe aadmee mudaam kharaab
صرف تیرا نام لے کر رہ گیا,sirf teraa naam le kar rah gayaa
شرمندگی سے عذر نہ کرنا گناہ کا,sharmindagee se uzr na karnaa gunaah kaa
چہوڑا نہ رشک نے کہ ترے گہر کا نام لوں,chhodaa na rashk ne ki tire ghar kaa naam luun
اے ولیؔ ہونا سریجن پر نثار,ai valee honaa sireejan par nisaar
جاداد بادہ نوشی رنداں ہے شش جہت,jaadaadebaadanosheeerindaan hai shashjihat
اتنے گہنے بادل کے پیچہے,itne ghane baadal ke peechhe
ہر اک قدم ہے نیی ازمایشوں کا ہجوم,har ik qadam hai naee aazmaaishon kaa hujoom
غم وہ افسانہ کہ اشفتہ بیانی مانگے,ham vo afsaana ki aashuftabayaanee maange
عجب نشہ تہا مگر اس کی بخشش لب میں,ajab nasha thaa magar us kee bakhshishelab men
کہینچتا ہے جس قدر اتنا ہی کہنچتا جایے ہے,kheenchtaa hai jis qadar utnaa hee khinchtaa jaae hai
پر اسے دیر اشنا کہیے,par use deraashnaa kahiye
لب ترے لعل بدخشاں بوجہ کر,lab tire laalebadakhshaan buujh kar
دل کا انا نظر نہیں اتا,dil kaa aanaa nazar naheen aataa
کیا ہوگا رفوگر سے رفو میرا گریبان,kyaa hogaa rafoogar se rafoo meraa garebaan
شہادت تہی مری قسمت میں جو دی تہی یہ خو مجہ کو,shahaadat thee miree qismat men jo dee thee ye khoo mujh ko
گیا جان سے اک جواں اتے اتے,gayaa jaan se ik javaan aate aate
جو تمام زندگی ہے وہ نظام ا نہ جایے,jo tamaamezindagee hai vo nizaam aa na jaae
جہنم سے ہم بے قراروں کو کیا,jahannam se ham beqaraaron ko kyaa
وہ حلقہ ہاۓ زلف کمیں میں ہیں یا خدا,vo halqahaaezulf kameen men hain yaa khudaa
نگاہ و دل کو قرار کیسا نشاط و غم میں کمی کہاں کی,nigaah o dil ko qaraar kaisaa nashaat o ham men kamee kahaan kee
رات ہے نیند ہے کہانی ہے,raat hai niind hai kahaanee hai
معزولی تپش ہویی افراط انتظار,maazooleeetapish huee ifraateintizaar
جب گزرتی ہے اس گلی سے صبا,jab guzartee hai us galee se sabaa
مانتا ہوں یار کیوں کیسی کہی,maantaa huun yaar kyuun kaisee kahee
تجہے حواس کی اوارگی کا علم کہاں,tujhe havaas kee aavaargee kaa ilm kahaan
تو بچا بچا کے نہ رکہ اسے ترا اینہ ہے وہ اینہ,too bachaa bachaa ke na rakh ise tiraa aaina hai vo aaina
غور کرنے پہ یاد اتی ہے,haur karne pe yaad aatee hai
الجہتے ہو تم اگر دیکہتے ہو ایینہ,ulajhte ho tum agar dekhte ho aaeena
فقط اک میرا نام تہا میرا,faqat ik meraa naam thaa meraa
کدہر ہے میری طرف مسکرا کے دیکہ ذرا,kidhar hai meree taraf muskuraa ke dekh zaraa
جو نہیں ہے مرے دل کی دنیا,jo naheen hai mire dil kee duniyaa
مرنا قبول ہے مگر الفت نہیں قبول,marnaa qubool hai magar ulfat naheen qubool
تو دوست کسو کا بہی ستم گر نہ ہوا تہا,too dost kasoo kaa bhee sitamgar na huaa thaa
ایک کے بعد دوسرا کہیے,ek ke baad doosraa kahiye
برق ہنستی ہے کہ فرصت کویی دم ہے ہم کو,barq hanstee hai ki fursat koee dam hai ham ko
پہول سے رنگ جدا ہونا کویی کہیل نہیں,phuul se rang judaa honaa koee khel naheen
تیرے انے کے زمانے ایے,tere aane ke zamaane aae
دل بے دست و پا افتادہ بر خوردار بستر ہے,dilebedastopaa uftaada barkhurdaarebistar hai
اور بہی سینہ کسنے لگتا اور کمر بل کہا جاتی,aur bhee siina kasne lagtaa aur kamar bal khaa jaatee
جب موسم گل ہر پہیرے میں ا ا کے دوبارا گزرے تہا,jab mausamegul har phere men aa aa ke dobaaraa guzre thaa
حسن نظر کو حسن خود ارا بنا دیا,husnenazar ko husnekhudaaraa banaa diyaa
تہا وہ تو رشک حور بہشتی ہمیں میں میرؔ,thaa vo to rashkehoorebahishtee hameen men meer
دل کو ہم صرف وفا سمجہے تہے کیا معلوم تہا,dil ko ham sarfevafaa samjhe the kyaa maaloom thaa
اس رنگ کو کیا جانے پوچہو تو کبہی پی ہے,is rang ko kyaa jaane poochho to kabhee pee hai
ڈریں ہوا سے پرندے کہلے پروں والے,daren havaa se parinde khule paron vaale
تو چشم صبح میں انسو ابہرنے لگتے ہیں,to chashmesubh men aansoo ubharne lagte hain
وہ پہلے اپنی زلفیں تو سنبہالیں,vo pahle apnee zulfen to sambhaalen
بجلی کا قمقمہ نہ ہو کالا دہواں تو ہو,bijlee kaa qumquma na ho kaalaa dhuaan to ho
یہ بہی ہے حرف و حکایت مجہے معلوم نہ تہا,ye bhee hai harfohikaayat mujhe maaloom na thaa
بڑا احسان ہم فرما رہے ہیں,badaa ehsaan ham farmaa rahe hain
کہ انساں عالم انسانیت پر بار ہو جایے,ki insaan aalameinsaaniyat par baar ho jaae
خنک سیہ مہکے ہویے سایے پہیل جاییں ہیں جل تہل پر,khunuk siyah mahke hue saae phail jaaen hain jalthal par
یہ عالم دوست اکثر دشمن عالم بہی ہوتے ہیں,ye aalamdost aksar dushmaneaalam bhee hote hain
چمن میں گل نے جو کل دعوی جمال کیا,chaman men gul ne jo kal daavaejamaal kiyaa
بندگی میں بہی وہ ازادہ و خودبیں ہیں کہ ہم,bandagee men bhee vo aazaada o khudbeen hain ki ham
اگر نہ کہیے کہ دشمن کا گہر ہے کیا کہیے,agar na kahiye ki dushman kaa ghar hai kyaa kahiye
برق بجان حوصلہ اتش فگن اسدؔ,barqebajaanehausla aatishfagan asad
تاب نظارۂ معشوق کی لا ہی نہ سکے,taab nazzaaraemaasooq kee laa hee na sake
پڑوسیوں کو جگا رہا تہا,padosiyon ko jagaa rahaa thaa
میرے ساحر سے کہو اب مجہے ازاد کرے,mere saahir se kaho ab mujhe aazaad kare
ہو اگر مقصد میں ناکامی تو کر سکتے ہیں صبر,ho agar maqsad men naakaamee to kar sakte hain sabr
کچہ ایسا یاد مجہ کو ا رہا ہے,kuchh aisaa yaad mujh ko aa rahaa hai
لوگوں کو جب اپس میں لڑانا نہیں اتا,logon ko jab aapas men ladaanaa naheen aataa
دل کو انکہوں نے پہنسایا کیا مگر,dil ko aankhon ne phansaayaa kyaa magar
فوج عشاق دیکہ ہر جانب,faujeushshaaq dekh har jaanib
یہ لوگ کیوں مرے زخم جگر کو دیکہتے ہیں,ye log kyuun mire zakhmejigar ko dekhte hain
کیا حال ہے کیا دکہا رہے ہو,kyaa haal hai kyaa dikhaa rahe ho
اس کے بس میں ہے مشیت مجہے معلوم نہ تہا,us ke bas men hai mashiyyat mujhe maaloom na thaa
ایک سے جانے ہم کتنے ہو جاتے ہیں,ek se jaane ham kitne ho jaate hain
سایے پہیلا کے شجر کیا کرتے,saae phailaa ke shajar kyaa karte
تم ظلم کہاں تک تہ افلاک کرو گے,tum zulm kahaan tak taheaflaak karoge
دل بہت کچہ جلا کے دیکہ لیا,dil bahut kuchh jalaa ke dekh liyaa
تصویر پریشانی عالم ہے مری جاں,tasveerepareshaanieaalam hai miree jaan
غیر کو تجہ سے محبت ہی سہی,hair ko tujh se mohabbat hee sahee
الفاظ پرکہتا رہتا ہے,alfaaz parakhtaa rahtaa hai
وہ شب ضرور سر کویے یار گزری ہے,vo shab zaroor sarekooeyaar guzree hai
اوروں سے تو وہ شرم و حیا کچہ نہیں کرتے,auron se to vo sharm o hayaa kuchh naheen karte
واعظ اس بت کو تو برا جانے,vaaiz us but ko too buraa jaane
رنگ رکہنا یہی اپنا اسی صورت لکہنا,rang rakhnaa yahee apnaa isee soorat likhnaa
خوشی کے چار جہونکے گر ادہر سے بہی گزر جاییں,khushee ke chaar jhonke gar idhar se bhee guzar jaaen
مثل یاقوت خط میں ہے شاگرد,misleyaaqoot khat men hai shaagird
غالبؔ کو جانتا ہے کہ وہ نیم جاں نہیں,haalib ko jaantaa hai ki vo neemjaan naheen
جو اپنی ذات سے باہر نہ ا سکا اب تک,jo apnee zaat se baahar na aa sakaa ab tak
مرض تو اتنے ہیں اور کچہ دوا نہیں رکہتے,maraz to itne hain aur kuchh davaa naheen rakhte
اک جوانی کی شرارت کے سوا کچہ بہی نہیں,ik javaanee kee sharaarat ke sivaa kuchh bhee naheen
نہاں بہار تہی بلبل ترے ترانے میں,nihaan bahaar thee bulbul tire taraane men
بادل کے ریشم جہولے میں,baadal ke resham jhoole men
ہمیں میں ا گیا کچہ نقص یا کامل نہیں ملتا,hameen men aa gayaa kuchh naqs yaa kaamil naheen miltaa
کیا بیت گیی اب کے فرازؔ اہل چمن پر؟,kyaa biit gaee ab ke faraaz ahlechaman par
رحم کر اپنی تمنا پر کہ کس مشکل میں ہے,rahm kar apnee tamannaa par ki kis mushkil men hai
چودہویں شب ہے تو کہڑکی کے گرا دو پردے,chaudhveen shab hai to khidkee ke giraa do parde
یہ ستم بہی ہم پہ زیر اسماں ہونا ہی تہا,ye sitam bhee ham pe zereaasmaan honaa hee thaa
کسی کے واسطے راہیں کہاں بدلتی ہیں,kisee ke vaaste raahen kahaan badaltee hain
ہو چکیں غالبؔ بلاییں سب تمام,ho chukeen haalib balaaen sab tamaam
نہیں کویی چارہ کار اب مرے سر سے اب گزر گیا,naheen koee chaarakaar ab mire sar se aab guzar gayaa
یہ کس کی انکہوں نے بادلوں کو سکہا دیا ہے,ye kis kee aankhon ne baadalon ko sikhaa diyaa hai
شاعری تجہ کو گنوایا ہے بہت دن ہم نے,shaaeree tujh ko ganvaayaa hai bahut din ham ne
دل کی حالت سنبہل چلی ہے,dil kee haalat sambhal chalee hai
کہلتا کسی پہ کیوں مرے دل کا معاملہ,khultaa kisee pe kyuun mire dil kaa moaamla
ہے خون جگر جوش میں دل کہول کے روتا,hai khoonejigar josh men dil khol ke rotaa
زمیں سے پیڑوں کے ٹانکے ادہیڑ دیتی ہے,zameen se pedon ke taanke udhed detee hai
تیری گرہ میں کیا دل ناشاد رہ گیا,teree girah men kyaa dilenaashaad rah gayaa
مجہ سے کہتے ہیں ماجرا کہیے,mujh se kahte hain maajraa kahiye
ہم نے تو سادگی سے کیا جی کا بہی زیاں,ham ne to saadgee se kyaa jee kaa bhee ziyaan
کہ ایک عمر سے حسرت پرست بالیں ہے,ki ek umr se hasratparastebaaleen hai
تمہاری بات پہ اے ناصحو گنواوں اسے,tumhaaree baat pe ai naaseho ganvaaoon use
اب اس کو کفر مانیں یا بلندی نظر جانیں,ab is ko kufr maanen yaa bulandeeenazar jaanen
بدل کے دنیا نے بہیس صدہا اسے ڈرایا اسے لبہایا,badal ke duniyaa ne bhes sadhaa ise daraayaa use lubhaayaa
ہر دل سے خطا ہو جاتی ہے، بگڑو نہ خدارا، دل ہی تو ہے,har dil se khataa ho jaatee hai bigdo na khudaaraa dil hee to hai
اپ بہت شریف ہیں اپ نے کیا نہیں کیا,aap bahut shareef hain aap ne kyaa naheen kiyaa
ایینے سے بگڑ کے بیٹہ گیے,aaeene se bigad ke baith gae
ہندوی ہر دوار باسی ہے,hindavee hardvaar baasee hai
پر نہیں زاہد کویی ٹٹی کی اڑ,par naheen zaahid koee tattee kee aad
وقت کی ضرب سے کٹ جاتے ہیں سب کے سینے,vaqt kee zarb se kat jaate hain sab ke siine
میرے ہاتہوں میں مرا گہر تو ہے دروازہ نہیں,mere haathon men miraa ghar to hai darvaaza naheen
کچہ پڑہ کے بخشنا جو کبہی یاد اییں ہم,kuchh padh ke bakhshnaa jo kabhee yaad aaen ham
ہونٹوں کو سی کے دیکہیے پچہتاییے گا اپ,honton ko see ke dekhiye pachhtaaiyegaa aap
وہ کویی بو ہے جو رسوا نہ ہو زمانے میں,vo koee boo hai jo rusvaa na ho zamaane men
علوم و حکمت کا درس ان کو پروفیسر دیں سمجہ خدا دے,uloomohikmat kaa dars un ko professor den samajh khudaa de
برنگ موج مے خمیازۂ ساغر ہے رم میرا,barangemaujemai khamyaazaesaa har hai ram meraa
اس کو یہ ناتواں اٹہا لایا,us ko ye naatavaan uthaa laayaa
لوگ ہر بات کا افسانہ بنا دیتے ہیں,log har baat kaa afsaana banaa dete hain
کرتا ہوں میں جو نالے سرانجام باغ میں,kartaa huun main jo naale saranjaam baa h men
کیونکے حاصل ہو مج کو جمعیت,kyoonke haasil ho muj ko jamiyyat
سبہی ہیں بہیڑ میں تم بہی نکل سکو تو چلو,sabhee hain bhiid men tum bhee nikal sako to chalo
یہ سب تو اے نگاہ کرم بات بات بات,ye sab to ai nigaahekaram baat baat baat
فضا کو جیسے کویی راگ چیرتا جایے,fazaa ko jaise koee raag cheertaa jaae
بہت دنوں بعد پایی فرصت تو میں نے خود کو پلٹ کے دیکہا,bahut dinon baad paaee fursat to main ne khud ko palat ke dekhaa
تمہارا جو فیصلہ رہا تہا,tumhaaraa jo faisla rahaa thaa
کہا اس کی اجازت ہی نہیں پہر نوحہ گر کیا ہو,kahaa is kee ijaazat hee naheen phir nauhagar kyaa ho
جناب داغؔ کے مشرب کو ہم سے تو پوچہو,janaabe daa h ke mashrab ko ham se to poochho
یہ مزہ تہا دل لگی کا کہ برابر اگ لگتی,ye maza thaa dillagee kaa ki baraabar aag lagtee
ترے غم کو بہی کچہ بہلا رہا ہوں,tire ham ko bhee kuchh bahlaa rahaa huun
کہ اس بازار میں ساغر متاع دست گرداں ہے,ki us baazaar men saa har mataaedastgardaan hai
کاش تو بہی میری اواز کہیں سنتا ہو,kaash too bhee meree aavaaz kaheen suntaa ho
نشہ بخشا غضب اس ساغر خالی نے مجہے,nashsha bakhshaa hazab us saa harekhaalee ne mujhe
تکلیف درد دل کی عبث ہم نشیں نے کی,takleef dardedil kee abas hamnasheen ne kee
شام ہی سے مرے قابو میں نہیں دل میرا,shaam hee se mire qaaboo men naheen dil meraa
کہلی ہیں انکہیں مگر بدن ہے تمام پتہر,khulee hain aankhen magar badan hai tamaam patthar
انکہ کی تصویر سر نامے پہ کہینچی ہے کہ تا,aankh kee tasveer sarnaame pe kheenchee hai ki taa
دعوی جمہوریت کا ہے ہر ان,daavaa jamhooriyat kaa hai haraan
ذرا وصال کے بعد اینہ تو دیکہ اے دوست,zaraa visaal ke baad aaina to dekh ai dost
جاییے اور خاک اڑاییے اپ,jaaiye aur khaak udaaiye aap
نہ کر خاراشگافوں سے تقاضا شیشہ سازی کا,na kar khaaraashigaafon se taqaazaa sheeshasaazee kaa
جو ہوا غرقۂ مے بخت رسا رکہتا ہے,jo huaa harqaemai bakhterasaa rakhtaa hai
جو بے عمل ہے وہ بدلہ کسی سے کیا لے گا,jo beamal hai vo badla kisee se kyaa legaa
اب تو تمہیں کو پیار کریں ہیں اب تو تمہیں سے بولیں ہیں,ab to tumheen ko pyaar karen hain ab to tumheen se bolen hain
