Urdu,RomanUrdu
اے اجل جب کہنچ گیا وہ تیر پہر کہینچی تو کیا,ai ajal jab khinch gayaa vo tiir phir kheenchee to kyaa
کہینچتا تہا پاوں میرا پہلے ہی زنجیر سے,kheenchtaa thaa paanv meraa pahle hee zanjeer se
اے جنوں تو نے مری زنجیر پہر کہینچی تو کیا,ai junoon too ne miree zanjeer phir kheenchee to kyaa
دار ہی پر اس نے کہینچا جب سر بازار عشق,daar hee par us ne kheenchaa jab sarebaazaareishq
لاش بہی میری پیے تشہیر پہر کہینچی تو کیا,laash bhee meree paietashheer phir kheenchee to kyaa
کہینچ اب نالہ کویی ایسا کہ ہو اس کو اثر,kheench ab naala koee aisaa ki ho us ko asar
تو نے اے دل اہ پر تاثیر پہر کہینچی تو کیا,too ne ai dil aahepurtaaseer phir kheenchee to kyaa
چاہییے اس کا تصور ہی سے نقشہ کہینچنا,chaahiye us kaa tasavvur hee se naqsha kheenchnaa
دیکہ کر تصویر کو تصویر پہر کہینچی تو کیا,dekh kar tasveer ko tasveer phir kheenchee to kyaa
کہینچ لے اول ہی سے دل کی عنان اختیار,kheench le avval hee se dil kee inaaneikhtiyaar
تو نے گر اے عاشق دلگیر پہر کہینچی تو کیا,too ne gar ai aashiqedilgeer phir kheenchee to kyaa
کیا ہوا اگے اٹہایے گر ظفرؔ احسان عقل,kyaa huaa aage uthaae gar zafar ehsaaneaql
اور اگر اب منت تدبیر پہر کہینچی تو کیا,aur agar ab minnatetadbeer phir kheenchee to kyaa
قاروں اٹہا کے سر پہ سنا گنج لے چلا,qaaroon uthaa ke sar pe sunaa ganj le chalaa
دنیا سے کیا بخیل بجز رنج لے چلا,duniyaa se kyaa bakheel bajuz ranj le chalaa
منت تہی بوسۂ لب شیریں کہ دل مرا,minnat thee bosaelabesheereen ki dil miraa
مجہ کو سویے مزار شکر گنج لے چلا,mujh ko sooemazaareshakar ganj le chalaa
ساقی سنبہالتا ہے تو جلدی مجہے سنبہال,saaqee sambhaaltaa hai to jaldee mujhe sambhaal
ورنہ اڑا کے پاں نشۂ بنج لے چلا,varna udaa ke paan nashaebanj le chalaa
دوڑا کے ہاتہ چہاتی پہ ہم ان کی یوں پہرے,daudaa ke haath chhaatee pe ham un kee yuun phire
جیسے کویی چور ا کے ہو نارنج لے چلا,jaise koee chor aa ke ho naaranj le chalaa
چوسر کا لطف یہ ہے کہ جس وقت پو پڑے,chausar kaa lutf ye hai ki jis vaqt po pade
ہم بر چہار بولے تو برپنج لے چلا,ham barchahaar bole to barpanj le chalaa
جس دم ظفرؔ نے پڑہ کے غزل ہاتہ سے رکہی,jis dam zafar ne padh ke hazal haath se rakhee
انکہوں پہ رکہ ہر ایک سخن سنج لے چلا,aankhon pe rakh har ek sukhansanj le chalaa
رخ جو زیر سنبل پر پیچ و تاب ا جایے گا,rukh jo zeresumbulepurpechotaab aa jaaegaa
پہر کے برج سنبلہ میں افتاب ا جایے گا,phir ke burjesumbule men aaftaab aa jaaegaa
تیرا احساں ہوگا قاصد گر شتاب ا جایے گا,teraa ehsaan hogaa qaasid gar shitaab aa jaaegaa
صبر مجہ کو دیکہ کر خط کا جواب ا جایے گا,sabr mujh ko dekh kar khat kaa javaab aa jaaegaa
ہو نہ بیتاب اتنا گر اس کا عتاب ا جایے گا,ho na betaab itnaa gar us kaa itaab aa jaaegaa
تو غضب میں اے دل خانہ خراب ا جایے گا,too hazab men ai dilekhaanakharaab aa jaaegaa
اس قدر رونا نہیں بہتر بس اب اشکوں کو روک,is qadar ronaa naheen behtar bas ab ashkon ko rok
ورنہ طوفاں دیکہ اے چشم پر اب ا جایے گا,varna toofaan dekh ai chashmepuraab aa jaaegaa
پیش ہووے گا اگر تیرے گناہوں کا حساب,pesh hovegaa agar tere gunaahon kaa hisaab
تنگ ظالم عرصۂ روز حساب ا جایے گا,tang zaalim arsaerozehisaab aa jaaegaa
دیکہ کر دست ستم میں تیری تیغ اب دار,dekh kar dastesitam men teree te heaabdaar
میرے ہر زخم جگر کے منہ میں اب ا جایے گا,mere har zakhmejigar ke munh men aab aa jaaegaa
اپنی چشم مست کی گردش نہ اے ساقی دکہا,apnee chashmemast kee gardish na ai saaqee dikhaa
دیکہ چکر میں ابہی جام شراب ا جایے گا,dekh chakkar men abhee jaamesharaab aa jaaegaa
خوب ہوگا ہاں جو سینہ سے نکل جایے گا تو,khuub hogaa haan jo siine se nikal jaaegaa too
چین مجہ کو اے دل پر اضطراب ا جایے گا,chain mujh ko ai dilepuriztiraab aa jaaegaa
اے ظفرؔ اٹہ جایے گا جب پردہ شرم و حجاب,ai zafar uth jaaegaa jab pardaesharmohijaab
سامنے وہ یار میرے بے حجاب ا جایے گا,saamne vo yaar mere behijaab aa jaaegaa
سب رنگ میں اس گل کی مرے شان ہے موجود,sab rang men us gul kee mire shaan hai maujood
غافل تو ذرا دیکہ وہ ہر ان ہے موجود,haafil too zaraa dekh vo har aan hai maujood
ہر تار کا دامن کے مرے کر کے تبرک,har taar kaa daaman ke mire kar ke tabarruk
سربستہ ہر اک خار بیابان ہے موجود,sarbasta har ik khaarebayaabaan hai maujood
عریانی تن ہے یہ بہ از خلعت شاہی,uryaanietan hai ye baazkhilateshaahee
ہم کو یہ ترے عشق میں سامان ہے موجود,ham ko ye tire ishq men saamaan hai maujood
کس طرح لگاوے کویی داماں کو ترے ہاتہ,kis tarah lagaave koee daamaan ko tire haath
ہونے کو تو اب دست و گریبان ہے موجود,hone ko too ab dastogarebaan hai maujood
لیتا ہی رہا رات ترے رخ کی بلاییں,letaa hee rahaa raat tire rukh kee balaaen
تو پوچہ لے یہ زلف پریشان ہے موجود,too poochh le ye zulfepareshaan hai maujood
تم چشم حقیقت سے اگر اپ کو دیکہو,tum chashmehaqeeqat se agar aap ko dekho
ایینۂ حق میں دل انسان ہے موجود,aaeenaehaq men dileinsaan hai maujood
کہتا ہے ظفرؔ ہیں یہ سخن اگے سبہوں کے,kahtaa hai zafar hain ye sukhan aage sabhon ke
جو کویی یہاں صاحب عرفان ہے موجود,jo koee yahaan saahibeirfaan hai maujood
شانے کی ہر زباں سے سنے کویی لاف زلف,shaane kee har zabaan se sune koee laafezulf
چیرے ہے سینہ رات کو یہ موشگاف زلف,cheere hai siina raat ko ye mooshigaafezulf
جس طرح سے کہ کعبہ پہ ہے پوشش سیاہ,jis tarah se ki kaabe pe hai poshishesiyaah
اس طرح اس صنم کے ہے رخ پر غلاف زلف,is tarah is sanam ke hai rukh par hilaafezulf
برہم ہے اس قدر جو مرے دل سے زلف یار,barham hai is qadar jo mire dil se zulfeyaar
شامت زدہ نے کیا کیا ایسا خلاف زلف,shaamatzada ne kyaa kiyaa aisaa khilaafezulf
مطلب نہ کفر و دیں سے نہ دیر و حرم سے کام,matlab na kufr o diin se na dair o haram se kaam
کرتا ہے دل طواف عذار و طواف زلف,kartaa hai dil tavaafeizaar o tavaafezulf
ناف غزال چیں ہے کہ ہے نافۂ تتار,naafe hazaalecheen hai ki hai naafaetataar
کیونکر کہوں کہ ہے گرہ زلف ناف زلف,kyoonkar kahoon ki hai girahezulf naafezulf
اپس میں اج دست و گریباں ہے روز و شب,aapas men aaj dastogarebaan hai roz o shab
اے مہروش زری کا نہیں مویے باف زلف,ai mehrvash zaree kaa naheen mooebaafezulf
کہتا ہے کویی جیم کویی لام زلف کو,kahtaa hai koee jiim koee laam zulf ko
کہتا ہوں میں ظفرؔ کہ مسطح ہے کاف زلف,kahtaa huun main zafar ki musattah hai kaafezulf
شمشیر برہنہ مانگ غضب بالوں کی مہک پہر ویسی ہی,shamsheerebarhana maang hazab baalon kee mahak phir vaisee hee
جوڑے کی گندہاوٹ قہر خدا بالوں کی مہک پہر ویسی ہی,juude kee gundhaavat qahrekhudaa baalon kee mahak phir vaisee hee
انکہیں ہیں کٹورا سی وہ ستم گردن ہے صراحی دار غضب,aankhen hain katoraa see vo sitam gardan hai suraaheedaar hazab
اور اسی میں شراب سرخی پاں رکہتی ہے جہلک پہر ویسی ہی,aur usee men sharaabesurkhiepaan rakhtee hai jhalak phir vaisee hee
ہر بات میں اس کی گرمی ہے ہر ناز میں اس کے شوخی ہے,har baat men us kee garmee hai har naaz men us ke shokhee hai
قامت ہے قیامت چال پری چلنے میں پہڑک پہر ویسی ہی,qaamat hai qayaamat chaal paree chalne men phadak phir vaisee hee
گر رنگ بہبوکا اتش ہے اور بینی شعلۂ سرکش ہے,gar rang bhabookaa aatish hai aur biinee sholaesarkash hai
تو بجلی سی کوندے ہے پری عارض کی چمک پہر ویسی ہی,to bijlee see kaunde hai paree aariz kee chamak phir vaisee hee
نوخیز کچیں دو غنچہ ہیں ہے نرم شکم اک خرمن گل,naukhez kuchen do huncha hain hai narm shikam ik khirmanegul
باریک کمر جو شاخ گل رکہتی ہے لچک پہر ویسی ہی,baareek kamar jo shaakhegul rakhtee hai lachak phir vaisee hee
ہے ناف کویی گرداب بلا اور گول سریں رانیں ہیں صفا,hai naaf koee girdaabebalaa aur gol sureen raanen hain safaa
ہے ساق بلوریں شمع ضیا پاوں کی کفک پہر ویسی ہی,hai saaq biloreen shameziyaa paanv kee kafak phir vaisee hee
محرم ہے حباب اب رواں سورج کی کرن ہے اس پہ لپٹ,mahram hai habaabeaaberavaan sooraj kee kiran hai us pe lipat
جالی کی کرتی ہے وہ بلا گوٹے کی دہنک پہر ویسی ہی,jaalee kee kurtee hai vo balaa gote kee dhanak phir vaisee hee
وہ گایے تو افت لایے ہے ہر تال میں لیوے جان نکال,vo gaae to aafat laae hai har taal men leve jaan nikaal
ناچ اس کا اٹہایے سو فتنے گہنگرو کی جہنک پہر ویسی ہی,naach us kaa uthaae sau fitne ghungroo kee jhanak phir vaisee hee
ہر بات پہ ہم سے وہ جو ظفرؔ کرتا ہے لگاوٹ مدت سے,har baat pe ham se vo jo zafar kartaa hai lagaavat muddat se
اور اس کی چاہت رکہتے ہیں ہم اج تلک پہر ویسی ہی,aur us kee chaahat rakhte hain ham aaj talak phir vaisee hee
تفتہ جانوں کا علاج اے اہل دانش اور ہے,tuftajaanon kaa ilaaj ai ahledaanish aur hai
عشق کی اتش بلا ہے اس کی سوزش اور ہے,ishq kee aatish balaa hai us kee sozish aur hai
کیوں نہ وحشت میں چبہے ہر مو بشکل نیش تیز,kyuun na vahshat men chubhe har moo bashakleneeshtez
خار غم کی تیرے دیوانے کی کاوش اور ہے,khaare ham kee tere deevaane kee kaavish aur hai
مطربو باساز او تم ہماری بزم میں,mutribo baasaaz aao tum hamaaree bazm men
ساز و ساماں سے تمہاری اتنی سازش اور ہے,saazosaamaan se tumhaaree itnee saazish aur hai
تہوکتا بہی دختر رز پر نہیں مست الست,thooktaa bhee dukhtareraz par naheen mastealast
جو کہ ہے اس فاحشہ پر غش وہ فاحش اور ہے,jo ki hai us faahisha par hash vo faahish aur hai
تاب کیا ہمتاب ہووے اس سے خورشید فلک,taab kyaa hamtaab hove us se khursheedefalak
افتاب داغ دل کی اپنے تابش اور ہے,aaftaabedaa hedil kee apne taabish aur hai
سب مٹا دیں دل سے ہیں جتنی کہ اس میں خواہشیں,sab mitaa den dil se hain jitnee ki us men khvaahishen
گر ہمیں معلوم ہو کچہ اس کی خواہش اور ہے,gar hamen maaloom ho kuchh us kee khvaahish aur hai
ابر مت ہم چشم ہونا چشم دریا بار سے,abr mat hamchashm honaa chashmedariyaabaar se
تیری بارش اور ہے اور اس کی بارش اور ہے,teree baarish aur hai aur us kee baarish aur hai
ہے تو گردش چرخ کی بہی فتنہ انگیزی میں طاق,hai to gardish charkh kee bhee fitnaangezee men taaq
تیری چشم فتنہ زا کی لیک گردش اور ہے,teree chashmefitnazaa kee lek gardish aur hai
بت پرستی جس سے ہووے حق پرستی اے ظفرؔ,butparastee jis se hove haqparastee ai zafar
کیا کہوں تجہ سے کہ وہ طرز پرستش اور ہے,kyaa kahoon tujh se ki vo tarzeparastish aur hai
ٹکڑے نہیں ہیں انسووں میں دل کے چار پانچ,tukde naheen hain aansuon men dil ke chaar paanch
سرخاب بیٹہے پانی میں ہیں مل کے چار پانچ,surkhaab baithe paanee men hain mil ke chaar paanch
منہ کہولے ہیں یہ زخم جو بسمل کے چار پانچ,munh khole hain ye zakhm jo bismil ke chaar paanch
پہر لیں گے بوسے خنجر قاتل کے چار پانچ,phir lenge bose khanjareqaatil ke chaar paanch
کہنے ہیں مطلب ان سے ہمیں دل کے چار پانچ,kahne hain matlab un se hamen dil ke chaar paanch
کیا کہیے ایک منہ ہیں وہاں مل کے چار پانچ,kyaa kahiye ek munh hain vahaan mil ke chaar paanch
دریا میں گر پڑا جو مرا اشک ایک گرم,dariyaa men gir padaa jo miraa ashk ek garm
بت خانے لب پہ ہو گیے ساحل کے چار پانچ,butkhaane lab pe ho gae saahil ke chaar paanch
دو چار لاشے اب بہی پڑے تیرے در پہ ہیں,dochaar laashe ab bhee pade tere dar pe hain
اور اگے دب چکے ہیں تلے گل کے چار پانچ,aur aage dab chuke hain tale gil ke chaar paanch
راہیں ہیں دو مجاز و حقیقت ہے جن کا نام,raahen hain do majaaz o haqeeqat hai jin kaa naam
رستے نہیں ہیں عشق کی منزل کے چار پانچ,raste naheen hain ishq kee manzil ke chaar paanch
رنج و تعب مصیبت و غم یاس و درد و داغ,ranj o taab museebat o ham yaas o dard o daa h
اہ و فغاں رفیق ہیں یہ دل کے چار پانچ,aah o fu haan rafeeq hain ye dil ke chaar paanch
دو تین جہٹکے دوں جوں ہی وحشت کے زور میں,do tiin jhatke duun juun hee vahshat ke zor men
زنداں میں ٹکڑے ہوویں سلاسل کے چار پانچ,zindaan men tukde hoven salaasil ke chaar paanch
فرہاد و قیس و وامق و عذرا تہے چار دوست,farhaad o qais o vaamiq o azraa the chaar dost
اب ہم بہی ا ملے تو ہویے مل کے چار پانچ,ab ham bhee aa mile to hue mil ke chaar paanch
ناز و ادا و غمزہ نگہ پنجۂ مژہ,naaz o adaa o hamza nigah panjaemizha
ماریں ہیں ایک دل کو یہ پل پل کے چار پانچ,maaren hain ek dil ko ye pil pil ke chaar paanch
ایما ہے یہ کہ دیویں گے نو دن کے بعد دل,iimaa hai ye ki devenge nau din ke baad dil
لکہ بہیجے خط میں شعر جو بیدل کے چار پانچ,likh bheje khat men sher jo bedil ke chaar paanch
ہیرے کے نورتن نہیں تیرے ہویے ہیں جما,hiire ke nauratan naheen tere hue hain jamaa
یہ چاندنی کے پہول مگر کہل کے چار پانچ,ye chaandnee ke phuul magar khil ke chaar paanch
مینایے نہہ فلک ہے کہاں بادۂ نشاط,meenaaenuhfalak hai kahaan baadaenashaat
شیشے ہیں یہ تو زہر ہلاہل کے چار پانچ,sheeshe hain ye to zahrehalaahal ke chaar paanch
ناخن کریں ہیں زخموں کو دو دو ملا کے ایک,naakhun karen hain zakhmon ko do do milaa ke ek
تہے اٹہ دس سو ہو گیے اب چہل کے چار پانچ,the aath das so ho gae ab chhil ke chaar paanch
گر انجم فلک سے بہی تعداد کیجیے,gar anjumefalak se bhee taadaad keejiye
نکلیں زیادہ داغ مرے دل کے چار پانچ,niklen ziyaada daa h mire dil ke chaar paanch
ماریں جو سر پہ سل کو اٹہا کر قلق سے ہم,maaren jo sar pe sil ko uthaa kar qalaq se ham
دس پانچ ٹکڑے سر کے ہوں اور سل کے چار پانچ,das paanch tukde sar ke hon aur sil ke chaar paanch
مان اے ظفرؔ تو پنج تن و چار یار کو,maan ai zafar too panjtan o chaaryaar ko
ہیں صدر دین کی یہی محفل کے چار پانچ,hain sadaredeen kee yahee mahfil ke chaar paanch
واں ارادہ اج اس قاتل کے دل میں اور ہے,vaan iraada aaj us qaatil ke dil men aur hai
اور یہاں کچہ ارزو بسمل کے دل میں اور ہے,aur yahaan kuchh aarzoo bismil ke dil men aur hai
وصل کی ٹہہراوے ظالم تو کسی صورت سے اج,vasl kee thahraave zaalim to kisee soorat se aaj
ورنہ ٹہہری کچہ ترے مایل کے دل میں اور ہے,varna thahree kuchh tire maail ke dil men aur hai
ہے ہلال و بدر میں اک نور پر جو روشنی,hai hilaal o badr men ik nuur par jo raushnee
دل میں ناقص کے ہے وہ کامل کے دل میں اور ہے,dil men naaqis ke hai vo kaamil ke dil men aur hai
پہلے تو ملتا ہے دل داری سے کیا کیا دل ربا,pahle to miltaa hai dildaaree se kyaa kyaa dilrubaa
باندہتا منصوبے پہر وہ مل کے دل میں اور ہے,baandhtaa mansoobe phir vo mil ke dil men aur hai
ہے مجہے بعد از سوال بوسہ خواہش وصل کی,hai mujhe baadazsavaalebosa khvaahish vasl kee
یہ تمنا ایک اس سایل کے دل میں اور ہے,ye tamannaa ek is saail ke dil men aur hai
گو وہ محفل میں نہ بولا پا گیے چتون سے ہم,go vo mahfil men na bolaa paa gae chitvan se ham
اج کچہ اس رونق محفل کے دل میں اور ہے,aaj kuchh us raunaqemahfil ke dil men aur hai
یوں تو ہے وہ ہی دل عالم کے دل میں اے ظفرؔ,yuun to hai vo hee dileaalam ke dil men ai zafar
اس کا عالم مرد صاحب دل کے دل میں اور ہے,us kaa aalam mardesaahab dil ke dil men aur hai
واں رسایی نہیں تو پہر کیا ہے,vaan rasaaee naheen to phir kyaa hai
یہ جدایی نہیں تو پہر کیا ہے,ye judaaee naheen to phir kyaa hai
ہو ملاقات تو صفایی سے,ho mulaaqaat to safaaee se
اور صفایی نہیں تو پہر کیا ہے,aur safaaee naheen to phir kyaa hai
دل ربا کو ہے دل ربایی شرط,dilrubaa ko hai dilrubaaee shart
دل ربایی نہیں تو پہر کیا ہے,dilrubaaee naheen to phir kyaa hai
گلہ ہوتا ہے اشنایی میں,gila hotaa hai aashnaaee men
اشنایی نہیں تو پہر کیا ہے,aashnaaee naheen to phir kyaa hai
اللہ اللہ رے ان بتوں کا غرور,allaah allaah re un buton kaa huroor
یہ خدایی نہیں تو پہر کیا ہے,ye khudaaee naheen to phir kyaa hai
موت ایی تو ٹل نہیں سکتی,maut aaee to tal naheen saktee
اور ایی نہیں تو پہر کیا ہے,aur aaee naheen to phir kyaa hai
مگس قاب اغنیا ہونا ہے,magaseqaab a hniyaa honaa hai
بے حیایی نہیں تو پہر کیا ہے,behayaaee naheen to phir kyaa hai
بوسۂ لب دل شکستہ کو,bosaelab dileshikasta ko
مومیایی نہیں تو پہر کیا ہے,momyaaee naheen to phir kyaa hai
نہیں رونے میں گر ظفرؔ تاثیر,naheen rone men gar zafar taaseer
جگ ہنسایی نہیں تو پہر کیا ہے,jaghansaaee naheen to phir kyaa hai
واقف ہیں ہم کہ حضرت غم ایسے شخص ہیں,vaaqif hain ham ki hazrate ham aise shakhs hain
اور پہر ہم ان کے یار ہیں ہم ایسے شخص ہیں,aur phir ham un ke yaar hain ham aise shakhs hain
دیوانے تیرے دشت میں رکہیں گے جب قدم,deevaane tere dasht men rakkhenge jab qadam
مجنوں بہی لے گا ان کے قدم ایسے شخص ہیں,majnoon bhee legaa un ke qadam aise shakhs hain
جن پہ ہوں ایسے ظلم و ستم ہم نہیں وہ لوگ,jin pe hon aise zulm o sitam ham naheen vo log
ہوں روز بلکہ لطف و کرم ایسے شخص ہیں,hon roz balki lutf o karam aise shakhs hain
یوں تو بہت ہیں اور بہی خوبان دل فریب,yuun to bahut hain aur bhee khoobaanedilfareb
پر جیسے پر فن اپ ہیں کم ایسے شخص ہیں,par jaise purfan aap hain kam aise shakhs hain
کیا کیا جفا کشوں پہ ہیں ان دلبروں کے ظلم,kyaa kyaa jafaakashon pe hain un dilbaron ke zulm
ایسوں کے سہتے ایسے ستم ایسے شخص ہیں,aison ke sahte aise sitam aise shakhs hain
دیں کیا ہے بلکہ دیجیے ایمان بہی انہیں,diin kyaa hai balki deejiye eemaan bhee unhen
زاہد یہ بت خدا کی قسم ایسے شخص ہیں,zaahid ye but khudaa kee qasam aise shakhs hain
ازردہ ہوں عدو کے جو کہنے پہ اے ظفرؔ,aazurda huun adoo ke jo kahne pe ai zafar
نے ایسے شخص وہ ہیں نہ ہم ایسے شخص ہیں,ne aise shakhs vo hain na ham aise shakhs hain
وہ سو سو اٹہکہٹوں سے گہر سے باہر دو قدم نکلے,vo sau sau atkhaton se ghar se baahar do qadam nikle
بلا سے اس کی گر اس میں کسی مضطر کا دم نکلے,balaa se us kee gar us men kisee muztar kaa dam nikle
کہاں انسو کے قطرے خون دل سے ہیں بہم نکلے,kahaan aansoo ke qatre khoonedil se hain baham nikle
یہ دل میں جمع تہے مدت سے کچہ پیکان غم نکلے,ye dil men jama the muddat se kuchh paikaane ham nikle
مرے مضمون سوز دل سے خط سب جل گیا میرا,mire mazmoonesozedil se khat sab jal gayaa meraa
قلم سے حرف جو نکلے شرر ہی یک قلم نکلے,qalam se harf jo nikle sharar hee yakqalam nikle
نکال اے چارہ گر تو شوق سے لیکن سر پیکاں,nikaal ai chaaragar too shauq se lekin sarepaikaan
ادہر نکلے جگر سے تیر ادہر قالب سے دم نکلے,udhar nikle jigar se tiir udhar qaalib se dam nikle
تصور سے لب لعلیں کے تیرے ہم اگر رو دیں,tasavvur se labelaaleen ke tere ham agar ro den
تو جو لخت جگر انکہوں سے نکلے اک رقم نکلے,to jo lakhtejigar aankhon se nikle ik raqam nikle
نہیں ڈرتے اگر ہوں لاکہ زنداں یار زنداں سے,naheen darte agar hon laakh zindaan yaar zindaan se
جنون اب تو مثال نالۂ زنجیر ہم نکلے,junoon ab to misaalenaalaezanjeer ham nikle
جگر پر داغ لب پر دود دل اور اشک دامن میں,jigar par daa h lab par doodedil aur ashk daaman men
تری محفل سے ہم مانند شمع صبح دم نکلے,tiree mahfil se ham maanindeshama subhdam nikle
اگر ہوتا زمانہ گیسویے شب رنگ کا تیرے,agar hotaa zamaana gesooeshabrang kaa tere
مری شب دیز سودا کا زیادہ تر قدم نکلے,miree shabdeez saudaa kaa ziyaadatar qadam nikle
کجی جن کی طبیعت میں ہے کب ہوتی وہ سیدہی ہے,kajee jin kee tabeeat men hai kab hotee vo seedhee hai
کہو شاخ گل تصویر سے کس طرح خم نکلے,kaho shaakheguletasveer se kis tarah kham nikle
شمار اک شب کیا ہم نے جو اپنے دل کے داغوں سے,shumaar ik shab kiyaa ham ne jo apne dil ke daa hon se
تو انجم چرخ ہشتم کے بہت سے ان سے کم نکلے,to anjum charkhehashtum ke bahut se un se kam nikle
خدا کے واسطے زاہد اٹہا پردہ نہ کعبہ کا,khudaa ke vaaste zaahid uthaa parda na kaabe kaa
کہیں ایسا نہ ہو یاں بہی وہی کافر صنم نکلے,kaheen aisaa na ho yaan bhee vahee kaafirsanam nikle
تمنا ہے یہ دل میں جب تلک ہے دم میں دم اپنے,tamannaa hai ye dil men jab talak hai dam men dam apne
ظفرؔ منہ سے ہمارے نام اس کا دم بہ دم نکلے,zafar munh se hamaare naam us kaa dambadam nikle
یا مجہے افسر شاہانہ بنایا ہوتا,yaa mujhe afsareshaahaana banaayaa hotaa
یا مرا تاج گدایانہ بنایا ہوتا,yaa miraa taaj gadaayaana banaayaa hotaa
اپنا دیوانہ بنایا مجہے ہوتا تو نے,apnaa deevaana banaayaa mujhe hotaa too ne
کیوں خرد مند بنایا نہ بنایا ہوتا,kyuun khiradmand banaayaa na banaayaa hotaa
خاکساری کے لیے گرچہ بنایا تہا مجہے,khaaksaaree ke liye garche banaayaa thaa mujhe
کاش خاک در جانانہ بنایا ہوتا,kaash khaakedarejaanaana banaayaa hotaa
نشۂ عشق کا گر ظرف دیا تہا مجہ کو,nashshaeishq kaa gar zarf diyaa thaa mujh ko
عمر کا تنگ نہ پیمانہ بنایا ہوتا,umr kaa tang na paimaana banaayaa hotaa
دل صد چاک بنایا تو بلا سے لیکن,dilesadchaak banaayaa to balaa se lekin
زلف مشکیں کا ترے شانہ بنایا ہوتا,zulfemushkeen kaa tire shaana banaayaa hotaa
صوفیوں کے جو نہ تہا لایق صحبت تو مجہے,soofiyon ke jo na thaa laaeqesohbat to mujhe
قابل جلسۂ رندانہ بنایا ہوتا,qaabilejalsaerindaana banaayaa hotaa
تہا جلانا ہی اگر دوری ساقی سے مجہے,thaa jalaanaa hee agar dooriesaaqee se mujhe
تو چراغ در مے خانہ بنایا ہوتا,to charaa hedaremaikhaana banaayaa hotaa
شعلۂ حسن چمن میں نہ دکہایا اس نے,sholaehusn chaman men na dikhaayaa us ne
ورنہ بلبل کو بہی پروانہ بنایا ہوتا,varna bulbul ko bhee parvaana banaayaa hotaa
روز معمورۂ دنیا میں خرابی ہے ظفرؔ,roz maamooraeduniyaa men kharaabee hai zafar
ایسی بستی کو تو ویرانہ بنایا ہوتا,aisee bastee ko to veeraana banaayaa hotaa
یاں خاک کا بستر ہے گلے میں کفنی ہے,yaan khaak kaa bistar hai gale men kafnee hai
واں ہاتہ میں ایینہ ہے گل پیرہنی ہے,vaan haath men aaeena hai gul pairahanee hai
ہاتہوں سے ہمیں عشق کے دن رات نہیں چین,haathon se hamen ishq ke din raat naheen chain
فریاد و فغاں دن کو ہے شب نعرہ زنی ہے,fariyaad o fu haan din ko hai shab naarazanee hai
ہشیار ہو غفلت سے تو غافل نہ ہو اے دل,hushyaar ho haflat se too haafil na ho ai dil
اپنی تو نظر میں یہ جگہ بے وطنی ہے,apnee to nazar men ye jagah bevatanee hai
کچہ کہہ نہیں سکتا ہوں زباں سے کہ ذرا دیکہ,kuchh kah naheen saktaa huun zabaan se ki zaraa dekh
کیا جایے ہے جس جایے نہ کچہ دم زدنی ہے,kyaa jaae hai jis jaae na kuchh damzadanee hai
مژگاں پہ مرے لخت جگر ہی نہیں یارو,mizhgaan pe mire lakhtejigar hee naheen yaaro
اس تار سے وہ رشتہ عقیق یمنی ہے,is taar se vo rishta aqeeqeyamanee hai
لکہ اور غزل قافیے کو پہیر ظفرؔ تو,likh aur hazal qaafiye ko pher zafar too
اب طبع کی دریا کی تری موج زنی ہے,ab taba kee dariyaa kee tiree maujzanee hai
یہ قصہ وہ نہیں تم جس کو قصہ خواں سے سنو,ye qissa vo naheen tum jis ko qissakhvaan se suno
مرے فسانۂ غم کو مری زباں سے سنو,mire fasaanae ham ko miree zabaan se suno
سناو درد دل اپنا تو دم بہ دم فریاد,sunaao dardedil apnaa to dambadam fariyaad
مثال نے مری ہر ایک استخواں سے سنو,misaalenai miree har ek ustukhvaan se suno
کرو ہزار ستم لے کے ذکر کیا یک یار,karo hazaar sitam le ke zikr kyaa yak yaar
شکایت اپنی تم اس اپنے نیم جاں سے سنو,shikaayat apnee tum is apne neemjaan se suno
خدا کے واسطے اے ہمدمو نہ بولو تم,khudaa ke vaaste ai hamdamo na bolo tum
پیام لایا ہے کیا نامہ بر وہاں سے سنو,payaam laayaa hai kyaa naamabar vahaan se suno
تمہارے عشق نے رسوا کیا جہاں میں ہمیں,tumhaare ishq ne rusvaa kiyaa jahaan men hamen
ہمارا ذکر نہ تم کیونکہ اک جہاں سے سنو,hamaaraa zikr na tum kyoonki ik jahaan se suno
سنو تم اپنی جو تیغ نگاہ کے اوصاف,suno tum apnee jo te henigaah ke ausaaf
جو تم کو سننا ہو اس شوخ دلستاں سے سنو,jo tum ko sunnaa ho us shokhedilsitaan se suno
ظفرؔ وہ بوسہ تو کیا دے گا پر کویی دشنام,zafar vo bosa to kyaa degaa par koee dushnaam
زلف جو رخ پر ترے اے مہر طلعت کہل گیی,zulf jo rukh par tire ai mehretalat khul gaee
ہم کو اپنی تیرہ روزی کی حقیقت کہل گیی,ham ko apnee teerarozee kee haqeeqat khul gaee
کیا تماشا ہے رگ لیلی میں ڈوبا نیشتر,kyaa tamaashaa hai ragelailaa men duubaa neshtar
فصد مجنوں باعث جوش محبت کہل گیی,fasdemajnoon baaisejoshemohabbat khul gaee
دل کا سودا اک نگہ پر ہے تری ٹہہرا ہوا,dil kaa saudaa ik nigah par hai tiree thahraa huaa
